Field,Range,Description
Prevotella sp. P5-125 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella sp. P5-60 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella sp. S7-1-8 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella sp. oral taxon 306 str. F0472 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella sp. oral taxon 472 str. F0295 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella stercorea ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella stercorea DSM 18206 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella timonensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella timonensis 4401737 = DSM 22865 = JCM 15640 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella timonensis CRIS 5C-B1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella timonensis S9-PR14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella veroralis DSM 19559 = JCM 6290 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotella veroralis F0319 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotellaceae bacterium Marseille-P2826 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Prevotellamassilia timonensis strain Marseille-P2831 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Priestia flexa ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium acidifaciens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium acnes 266 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium acnes hdn-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium acnes subsp. acnes ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium acnes subsp. defendens ATCC 11828 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium freudenreichii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium freudenreichii subsp. freudenreichii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium freudenreichii subsp. freudenreichii strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionibacterium freudenreichii subsp. shermanii isolate PFREUDJS1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Propionimicrobium sp. Marseille-P3275 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Proteus columbae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Proteus mirabilis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Proteus vulgaris ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Providencia rettgeri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudobutyrivibrio ruminis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudobutyrivibrio xylanivorans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudoflavonifractor capillosus ATCC 29799 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudomonas ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudomonas aeruginosa ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudomonas denitrificans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudomonas helleri strain DSM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudomonas psychrophila ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudomonas stutzeri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudomonas stutzeri A1501 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pseudoramibacter alactolyticus ATCC 23263 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Puccinia graminis f. sp. tritici CRL 75-36-700-3 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pyrenophora ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pyrenophora tritici-repentis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Pyricularia grisea ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia insidiosa ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia insidiosa strain ATCC ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia mannitolilytica ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia mannitolilytica strain SN82F48 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia pickettii 12D ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia pickettii 12J ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia solanacearum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia sp. AU12-08 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ralstonia sp. MD27 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Raoultella ornithinolytica ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Raoultella ornithinolytica strain A14 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Raoultella ornithinolytica strain Yangling ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Raoultella planticola ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Raoultella sp. XY-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Riemerella anatipestifer Yb2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rikenella microfusus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rikenella microfusus DSM 15922 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Romboutsia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Romboutsia sp. CE17 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Roseburia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Roseburia faecis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Roseburia hominis A2-183 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Roseburia intestinalis L1-82 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Roseburia inulinivorans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Roseburia sp. 499 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Roseburia sp. 831b ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia aeria ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia dentocariosa ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia dentocariosa ATCC 17931 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia kristinae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia mucilaginosa DY-18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC061D12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC061E04 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC062H08 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC065B04 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC065C03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC065C12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC065G12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC066G02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC066G07 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC068E02 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC069C04 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC069C10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC069D01 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC072B03 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC073B08 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC075F09 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Rothia sp. HMSC076D04 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminiclostridium herbifermentans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcaceae bacterium D16 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcaceae bacterium Marseille-P2935 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcaceae bacterium Marseille-P2963 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcaceae bacterium cv2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus bicirculans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus callidus ATCC 27760 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus champanellensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus faecis JCM 15917 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus gauvreauii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus gnavus ATCC 29149 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus lactaris ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus lactaris ATCC 29176 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus lactaris CC59_002D ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus sp. 5_1_39BFAA ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus sp. AT10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus sp. DSM 100440 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus sp. JC304 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus sp. JE7A12 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus sp. Marseille-P3213 sp. Marseille-P3213 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus sp. YE71 sp. YE71 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruminococcus torques ATCC 27756 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruthenibacterium ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruthenibacterium lactatiformans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Ruthenibacterium lactatiformans strain 585-1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces boulardii (nom. inval.) ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces cerevisiae S288C ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces eubayanus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces jurei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces kudriavzevii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces paradoxus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces pastorianus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Saccharomyces sp. 'boulardii' strain unique28 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Salmonella phage allotria ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sanguibacteroides justesenii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sarcina sp. JB2 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Scardovia wiggsiae F0424 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Schaalia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Schaalia meyeri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Schaalia odontolytica ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Schlumbergera virus X ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Selenomonas ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sellimonas intestinalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sellimonas intestinalis strain BR72 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Senegalimassilia anaerobia JC110 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Serratia liquefaciens ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sfi11virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sfi21dt1virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sharpea azabuensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Shewanella colwelliana strain CSB03KR ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Shewanella maritima ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Shigella dysenteriae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Shigella flexneri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Shuttleworthia sp. MSX8B ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sinorhizobium sp. GL28 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Slackia piriformis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Slackia piriformis YIT 12062 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Slackia sp. CM382 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sneathia sanguinegens strain CCUG41628 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sneathia vaginalis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sodaliphilus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sodaliphilus pleomorphus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Solobacterium moorei ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Southern tomato virus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sparassis latifolia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sphingobacterium hotanense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sphingobacterium multivorum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sphingobacterium thalpophilum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sphingomonas sp. Ant H11 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sphingopyxis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sphingopyxis fribergensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Sphingopyxis sp. EG6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus aureus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus epidermidis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus gallinarum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus haemolyticus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus hominis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus pasteuri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus piscifermentans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus pseudintermedius ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus saprophyticus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus succinus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus vitulinus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Staphylococcus warneri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Stenotrophomonas maltophilia ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Stomatobaculum longum ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus acidominimus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus agalactiae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus agalactiae 2603V/R ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus agalactiae ILRI005 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus agalactiae strain GBS2-NM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus anginosus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus anginosus C1051 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus anginosus C238 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus anginosus strain J4211 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus anginosus strain SA1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus anginosus subsp. whileyi MAS624 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus australis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus canis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus constellatus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus constellatus subsp. pharyngis C1050 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus constellatus subsp. pharyngis C232 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus constellatus subsp. pharyngis C818 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus cristatus AS 1.3089 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus cristatus ATCC 51100 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus dentasini ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus dysgalactiae ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus equinus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus gallolyticus ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus gordonii ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus gordonii str. Challis substr. CH1 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus gordonii strain KCOM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus gwangjuense ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantarius ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantarius strain ICDDRB-NRC-S5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantarius subsp. infantarius CJ18 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis ATCC 700779 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis SK1076 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis SK1302 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis SK970 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis X ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis strain UC6950A ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus infantis strain UC921A ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus intermedius ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus intermedius B196 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus intermedius C270 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus intermedius JTH08 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus koreensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus lutetiensis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus lutetiensis 033 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus macedonicus ACA-DC 198 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus milleri ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mitis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mitis B6 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mitis NCTC 12261 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mitis SPAR10 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mitis strain KCOM ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans B04Sm5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans GS-5 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans LJ23 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans NN2025 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans UA159 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans UA159-FR ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus mutans strain NG8 ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
Streptococcus oralis ,"Binary: 0 = No, 1 = Yes",Indicator variable of presence of bacteria in microbiome sample
